,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
Random_Forest,0.9915254237288136,1.0,0.9905660377358491,0.995260663507109,0.9992138364779873,"[[ 12   0]
 [  1 105]]"
SVM,0.9830508474576272,1.0,0.9811320754716981,0.9904761904761905,1.0,"[[ 12   0]
 [  2 104]]"
