gene,f_score,p_value
ENSG00000088320.4,212.65994243082204,5.7906515367959085e-40
ENSG00000171992.13,212.52414812485682,6.0685440575253405e-40
ENSG00000095713.14,212.03432865135414,7.187009409165358e-40
ENSG00000119147.10,211.81813910337868,7.744434002057237e-40
ENSG00000255399.4,211.64294899473228,8.227851702553017e-40
ENSG00000128512.23,211.5018257699272,8.63922241960328e-40
ENSG00000137976.7,211.43391700244243,8.844474853833816e-40
ENSG00000101282.9,211.18384806610308,9.643443263164511e-40
ENSG00000119865.9,209.8235756348269,1.544507537837664e-39
ENSG00000166927.13,209.18736507341373,1.925780110965357e-39
ENSG00000133246.12,209.02092402081766,2.0402749538067417e-39
ENSG00000149564.12,208.9472885569479,2.0930869421345666e-39
ENSG00000106688.12,208.48062322421322,2.461235051760937e-39
ENSG00000064205.10,208.36464398352004,2.5624098824890824e-39
ENSG00000170909.13,208.314494486131,2.6074417458503294e-39
ENSG00000118407.15,207.94411213009136,2.9655931315993794e-39
ENSG00000225398.3,207.6034025157604,3.3385501666946943e-39
ENSG00000078596.11,207.57724484290821,3.369059981241716e-39
ENSG00000175662.18,207.15790077659668,3.8982296260614386e-39
ENSG00000261888.1,206.80879987256878,4.4019345861697744e-39
ENSG00000138722.10,206.56690749708997,4.7888201853288036e-39
ENSG00000112531.17,206.51557834372502,4.87521203987237e-39
